SpeedLimit,Over_pct,O5mph_pct,Speed_avg,SpeedO_avg,Spd5O_avg
25,4,0,19,27,0
25,24,2,22,27,32
30,34,3,28,32,37
25,56,15,25,28,33
0,18,2,21,28,35
25,88,46,29,30,33
25,88,46,29,30,33
35,77,34,38,40,43
35,77,34,38,40,43
35,77,34,38,40,43
35,77,34,38,40,43
35,45,11,34,38,42
35,45,11,34,38,42
25,50,13,25,28,33
25,50,13,25,28,33
25,58,21,26,29,32
25,58,21,26,29,32
30,43,13,29,33,37
30,43,13,29,33,37
30,43,13,29,33,37
30,43,13,29,33,37
30,65,21,31,34,39
30,65,21,31,34,39
25,87,43,29,30,34
25,87,43,29,30,34
25,40,12,24,29,34
25,40,12,24,29,34
25,40,12,24,29,34
25,40,12,24,29,34
35,19,5,30,39,44
35,19,5,30,39,44
35,19,5,30,39,44
35,46,16,35,39,43
35,46,16,35,39,43
35,12,3,29,38,43
35,12,3,29,38,43
25,80,37,28,30,34
25,80,37,28,30,34
30,52,21,30,34,38
35,55,24,36,40,43
35,24,4,32,38,43
35,51,15,35,39,43
35,57,21,36,39,43
35,40,9,34,38,43
25,86,53,30,31,34
0,59,13,26,28,33
0,78,30,28,29,33
0,59,18,26,29,33
0,59,18,26,29,33
25,30,4,22,28,32
25,30,4,22,28,32
0,8,2,17,28,32
30,41,14,29,34,38
30,41,14,29,34,38
30,68,24,27,29,33
30,17,1,26,32,37
30,17,1,26,32,37
30,17,1,26,32,37
30,17,1,26,32,37
30,17,1,26,32,37
30,19,1,25,33,42
30,19,1,25,33,42
0,21,2,22,28,38
30,2,0,19,35,48
0,50,16,24,29,33
30,6,0,26,32,0
30,19,3,25,33,38
30,55,21,31,35,40
0,1,0,16,27,0
0,1,0,16,27,0
25,66,20,26,29,33
0,2,0,16,28,32
0,1,0,17,31,37
0,7,1,17,28,33
0,67,24,26,29,33
25,88,47,30,31,34
25,88,47,30,31,34
25,84,37,28,30,33
25,84,37,28,30,33
25,91,54,30,31,34
25,91,54,30,31,34
30,26,3,27,33,38
30,22,2,27,32,37
30,75,26,32,34,39
30,75,26,32,34,39
30,75,26,32,34,39
30,75,26,32,34,39
30,75,26,32,34,39
30,75,26,32,34,39
30,61,19,31,34,38
30,61,19,31,34,38
30,61,19,31,34,38
30,61,19,31,34,38
30,61,19,31,34,38
30,61,19,31,34,38
25,85,46,28,30,33
0,18,3,21,29,37
0,100,100,47,47,47
0,0,0,16,0,0
0,50,15,24,29,33
0,40,7,23,28,34
0,16,3,20,29,37
25,5,0,19,27,0
25,10,1,21,28,32
25,29,4,23,28,33
0,43,7,24,28,33
0,43,7,24,28,33
0,43,7,24,28,33
25,53,13,25,28,32
0,5,1,18,29,35
0,15,0,21,27,32
0,15,0,21,27,32
25,29,5,22,28,33
25,29,5,22,28,33
25,71,26,27,29,34
25,71,26,27,29,34
25,70,20,27,29,32
25,19,6,29,39,44
35,42,10,34,38,43
25,93,60,31,31,34
25,84,40,29,30,33
35,69,28,37,40,43
35,58,19,35,39,43
0,72,24,27,29,33
25,46,9,23,28,32
25,46,9,23,28,32
0,13,3,16,30,40
25,59,13,26,28,32
25,78,41,28,30,33
25,66,22,26,29,33
25,53,21,25,29,33
25,74,29,28,30,34
25,33,6,22,29,36
30,12,1,26,32,37
30,15,3,26,33,37
25,48,13,24,28,32
25,26,5,21,28,33
25,26,5,21,28,33
25,13,2,17,29,37
25,42,9,24,29,36
25,42,9,24,29,36
30,42,16,29,34,38
30,27,6,26,33,38
30,27,6,26,33,38
30,19,4,22,34,41
30,19,4,22,34,41
30,19,4,22,34,41
35,6,2,36,50,55
35,6,2,36,50,55
35,6,2,36,50,55
35,6,2,36,50,55
35,6,2,36,50,55
35,6,2,36,50,55
35,6,2,36,50,55
35,6,2,36,50,55
0,27,6,21,28,33
25,100,84,33,33,35
25,100,84,33,33,35
35,32,10,33,39,43
35,71,27,37,40,44
35,71,27,37,40,44
35,71,27,37,40,44
35,71,27,37,40,44
35,67,28,37,40,44
35,67,28,37,40,44
35,67,28,37,40,44
35,51,13,35,39,43
25,68,27,27,29,33
25,91,45,30,30,34
35,32,10,33,39,43
35,32,10,33,39,43
35,32,10,33,39,43
35,32,10,33,39,43
35,32,10,33,39,43
35,32,10,33,39,43
35,71,27,37,40,44
35,32,10,33,39,43
25,44,9,24,28,33
25,82,44,29,31,34
25,51,12,25,28,33
25,49,10,24,28,33
25,51,9,25,28,33
25,30,3,23,28,32
25,40,9,24,28,33
0,26,2,22,27,33
25,38,10,23,28,33
25,38,10,23,28,33
30,22,3,25,33,39
